generation,maxEv,aveEv,aveEvNotOne
390,5818,3723.62,4964.5
391,5818,4436.62,5070.29
392,5818,3782.81,5501.82
393,5818,4013.88,5351.5
394,5818,4255.88,5237.77
395,5818,4096.94,5042.15
396,5818,4107.44,4694.07
397,5818,4389,5015.86
398,5818,4025.69,4954.46
399,5818,3555.06,5170.55
400,5818,3731.19,5426.73
401,5818,2685.75,5370.5
402,5818,3196.19,5113.3
403,5818,3198.19,5116.5
404,5818,5211.25,5211.25
405,5818,4185.5,5151.15
406,5818,3603.94,5241.64
407,5818,3450.88,5520.8
408,5818,3786.62,5507.36
409,5818,3826.25,5101.33
410,5818,3122.31,4995.1
411,5818,2933,4692.2
412,5818,4421.06,4715.73
413,5818,3961.31,4875.23
414,5818,4077,5017.62
415,5818,4113.06,5062
416,5818,4546.88,5196.29
417,5818,4809.69,5130.27
418,5818,4243.44,5222.46
419,5818,3310.12,5295.6
420,5818,3554.75,4739.33
421,5818,3711.75,4568.08
422,5818,3609.19,4441.85
423,5818,4659.44,4659.44
424,5818,3028.31,4844.7
425,5818,3342.5,4861.36
426,5818,3510.88,4680.83
427,5818,3932.38,4494
428,5818,3710.75,4947.33
429,5818,3262.94,4350.25
430,5818,4484.88,5125.43
431,5818,2728.19,5455.38
432,5818,3611.44,5252.55
433,5818,4114.62,5485.83
434,5818,3787.69,5049.92
435,5818,3556.06,5172
436,5818,4573.94,5227.21
437,5818,4279.81,4891.07
438,5818,4078.38,5019.31
439,5818,3913.69,5217.92
440,5818,2987.31,4779.1
441,5818,3795,5059.67
442,5818,2724.75,4843.22
443,5818,3512.69,5108.91
444,5818,3565.31,5185.45
445,5818,4308.44,5302.46
446,5818,4595.56,5251.93
447,5818,3914,5692.64
448,5818,3728.56,5422.91
449,5818,4844.94,5167.87
450,5818,4139.56,4730.79
451,5818,3942.38,4851.92
452,5818,2574.62,5148.25
453,5818,2623.62,4663.44
454,5818,3399.25,4943.91
455,5818,3162.75,5059.8
456,5818,4790.94,5475.21
457,5818,4101,5467.67
458,5818,4334.31,5778.75
459,5818,5626.75,5626.75
460,5818,4723.12,5397.71
461,5818,3429.69,4988.18
462,5818,4902.81,5229.6
463,5818,4040.75,4973
464,5818,3508.12,5102.27
465,5818,3573.81,5197.82
466,5818,2585.25,5169.5
467,5818,3893.19,5190.58
468,5818,3542.31,4722.75
469,5818,3869.25,5158.67
470,5818,3163.25,5060.6
471,5818,3630.88,5280.82
472,5818,3789.69,5052.58
473,5818,4332.81,4951.64
474,5818,3380.56,4916.73
475,5818,3551.12,4734.5
476,5818,2977,4762.6
477,5818,3742.88,4990.17
478,5818,3128.69,4550.36
479,5818,3870.81,4128.8
480,5818,3624.44,4832.25
481,5818,3343.38,5348.8
482,5818,3192.31,5107.1
483,5818,4646.06,4955.73
484,5818,3277.56,4766.91
485,5818,3484,4287.77
486,5818,3078.25,4477
487,5818,2777.5,4443.4
488,5818,4090.69,5034.46
489,5818,4069.88,5008.85
490,5818,3325.62,5320.4
491,5818,4396.56,5410.92
492,5818,4406.69,5423.38
493,5818,4025.69,5367.25
494,5818,4436.88,5460.54
495,5818,4785.62,5469.14
496,5818,3706.56,5390.91
497,5818,4743.56,5059.73
498,5818,4326.69,4944.64
499,5818,3532.12,4709.17
500,5818,3943.94,5258.25
501,5818,2820.19,4511.7
502,5818,4075.81,5016.15
503,5818,3283.88,5253.6
504,5818,3325.94,5320.9
505,5818,4087.62,5449.83
506,5818,3799,5525.36
507,5818,3424.38,5478.4
508,5818,3399.62,4944.45
509,5818,4120.38,5071
510,5818,3436.75,4998.45
511,5818,3243.31,5188.7
512,5818,3266.06,5225.1
513,5818,4369.62,5377.77
514,5818,4517.69,5560
515,5818,3477.69,5563.7
516,5818,4670.38,5747.92
517,5818,4409.56,5426.92
518,5818,5017.19,5733.79
519,5818,3835.56,5578.55
520,5818,4454.81,5482.62
521,5818,4061.56,4998.62
522,5818,3202.38,4657.55
523,5818,2514.06,5027.12
524,5818,4424.25,4719.13
525,5818,4054.44,4633.5
526,5818,3249.44,4726
527,5818,4501.06,5143.93
528,5818,4378.75,5389
529,5818,4034.62,5379.17
530,5818,2585.81,5170.62
531,5818,3886.25,5181.33
532,5818,3759.94,5012.92
533,5818,4538.5,5186.71
534,5818,3438.12,5000.45
535,5818,3483.69,4287.38
536,5818,4408.94,4702.8
537,5818,3666.12,5332.09
538,5818,4835.69,5158
539,5818,3850.88,5134.17
540,5818,3808.38,5077.5
541,5818,4215.81,5188.46
542,5818,4240.75,5219.15
543,5818,4005.88,5340.83
544,5818,3626.69,5274.73
545,5818,3901.81,4802
546,5818,4261.81,4545.87
547,5818,4240.62,4523.27
548,5818,4131.25,4721.29
549,5818,3605.31,4437.08
550,5818,2501,5001
551,5818,4924.19,5252.4
552,5818,4237.06,5214.62
553,5818,3761.75,5471.18
554,5818,4794.44,5479.21
555,5818,4243.25,5222.23
556,5818,3617.81,4823.42
557,5818,3961,4874.85
558,5818,3735,4596.69
559,5818,2799.75,4479
560,5818,2654.56,4718.44
561,5818,3861.38,5148.17
562,5818,4379,5004.43
563,5818,4007.06,5342.42
564,5818,4686,4998.33
565,5818,2857.44,4571.3
566,5818,4184.94,5150.46
567,5818,3251.5,5201.8
568,5818,3909.75,5212.67
569,5818,4241.31,5654.75
570,5818,4598.19,5659.08
571,5818,3899.5,5671.55
572,5818,3885.44,5651.09
573,5818,5018.25,5735
574,5818,3557,5690.6
575,5818,3852.31,5602.91
576,5818,3457.38,5531.2
577,5818,3911.75,5215.33
578,5818,3864.06,5151.75
579,5818,3640.5,5294.82
580,5818,3497.62,5087
581,5818,3799.88,4676.54
