generation,ev,No.1,No.2,No.3,No.4,No.5,No.6,No.7,No.8,No.9,No.10,No.11,No.12,No.13,No.14,No.15,No.16,No.17,No.18,No.19,No.20
7,3165,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
7,4802,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
8,4562,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
8,3714,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
8,4333,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
8,2696,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
8,4802,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
8,4802,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
8,4185,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
8,3394,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
8,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,1
8,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1
8,3165,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
8,3228,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
8,4802,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
8,4185,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
8,3165,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
8,4802,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
9,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1
9,3349,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1
9,4858,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1
9,3394,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
9,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
9,3165,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
9,2694,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
9,3107,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1
9,2730,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
9,3968,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1
9,3394,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
9,3835,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
9,4802,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
9,3165,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
9,3394,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
9,3165,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
10,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1
10,3390,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1
10,4633,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1
10,3753,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1
10,4198,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
10,3619,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1
10,3390,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1
10,2443,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1
10,3165,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
10,3578,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1
10,3762,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1
10,3120,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
10,4858,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1
10,3349,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1
10,2730,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
10,3394,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
11,4633,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1
11,3619,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1
11,1,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1
11,2905,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
11,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0
11,3443,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1
11,3578,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1
11,3570,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1
11,3619,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1
11,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,1
11,3619,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1
11,3578,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1
11,4858,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1
11,3394,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
11,3578,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1
11,3619,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1
12,4858,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1
